temperature,humidity,datetime
23.0,40.0,2022-10-22 17:14:28.716545
23.0,40.0,2022-10-22 17:14:31.770677
23.0,40.0,2022-10-22 17:14:32.297362
23.0,40.0,2022-10-22 17:14:32.823662
23.0,40.0,2022-10-22 17:14:33.350011
23.0,40.0,2022-10-22 17:14:33.876412
23.0,40.0,2022-10-22 17:14:39.461769
23.0,40.0,2022-10-22 17:14:39.987933
23.0,40.0,2022-10-22 17:14:40.514113
23.0,40.0,2022-10-22 17:14:41.040342
23.0,40.0,2022-10-22 17:14:41.566647
23.0,40.0,2022-10-22 17:14:42.092963
23.0,40.0,2022-10-22 17:14:42.619199
23.0,40.0,2022-10-22 17:14:45.676665
23.0,40.0,2022-10-22 17:14:51.262383
23.0,40.0,2022-10-22 17:14:51.788654
23.0,40.0,2022-10-22 17:14:52.314974
23.0,40.0,2022-10-22 17:14:52.841599
23.0,40.0,2022-10-22 17:14:53.368537
23.0,40.0,2022-10-22 17:14:56.426496
23.0,40.0,2022-10-22 17:14:56.952735
23.0,40.0,2022-10-22 17:14:57.478950
23.0,40.0,2022-10-22 17:15:00.536291
23.0,40.0,2022-10-22 17:15:01.062540
23.0,40.0,2022-10-22 17:15:01.588487
23.0,40.0,2022-10-22 17:15:02.115010
23.0,40.0,2022-10-22 17:15:02.641524
23.0,40.0,2022-10-22 17:15:03.167768
23.0,40.0,2022-10-22 17:15:03.694035
23.0,40.0,2022-10-22 17:15:04.220189
23.0,40.0,2022-10-22 17:15:04.746407
23.0,40.0,2022-10-22 17:15:05.272656
23.0,40.0,2022-10-22 17:15:05.798859
23.0,40.0,2022-10-22 17:15:08.856633
23.0,40.0,2022-10-22 17:15:09.382902
23.0,40.0,2022-10-22 17:15:09.909135
23.0,40.0,2022-10-22 17:15:12.963275
23.0,40.0,2022-10-22 17:15:13.489445
23.0,40.0,2022-10-22 17:15:14.015618
23.0,40.0,2022-10-22 17:15:14.541849
23.0,40.0,2022-10-22 17:15:15.068135
23.0,40.0,2022-10-22 17:15:15.594319
23.0,40.0,2022-10-22 17:15:16.120808
23.0,40.0,2022-10-22 17:15:16.647613
23.0,40.0,2022-10-22 17:15:17.173887
23.0,40.0,2022-10-22 17:15:17.700053
23.0,40.0,2022-10-22 17:15:18.226306
23.0,40.0,2022-10-22 17:15:21.283572
23.0,41.0,2022-10-22 17:15:21.809828
23.0,41.0,2022-10-22 17:15:22.336193
23.0,41.0,2022-10-22 17:15:22.862585
23.0,41.0,2022-10-22 17:15:23.388824
23.0,41.0,2022-10-22 17:15:23.915142
23.0,41.0,2022-10-22 17:15:26.969659
23.0,41.0,2022-10-22 17:15:27.496150
23.0,41.0,2022-10-22 17:15:28.022559
